GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Households with one or more people under 18 years:,Margin of Error; Households with one or more people under 18 years:,Estimate; Households with one or more people under 18 years: - Family households:,Margin of Error; Households with one or more people under 18 years: - Family households:,Estimate; Households with one or more people under 18 years: - Family households: - Married-couple family,Margin of Error; Households with one or more people under 18 years: - Family households: - Married-couple family,Estimate; Households with one or more people under 18 years: - Family households: - Other family:,Margin of Error; Households with one or more people under 18 years: - Family households: - Other family:,"Estimate; Households with one or more people under 18 years: - Family households: - Other family: - Male householder, no wife present","Margin of Error; Households with one or more people under 18 years: - Family households: - Other family: - Male householder, no wife present","Estimate; Households with one or more people under 18 years: - Family households: - Other family: - Female householder, no husband present","Margin of Error; Households with one or more people under 18 years: - Family households: - Other family: - Female householder, no husband present",Estimate; Households with one or more people under 18 years: - Nonfamily households:,Margin of Error; Households with one or more people under 18 years: - Nonfamily households:,Estimate; Households with one or more people under 18 years: - Nonfamily households: - Male householder,Margin of Error; Households with one or more people under 18 years: - Nonfamily households: - Male householder,Estimate; Households with one or more people under 18 years: - Nonfamily households: - Female householder,Margin of Error; Households with one or more people under 18 years: - Nonfamily households: - Female householder,Estimate; Households with no people under 18 years:,Margin of Error; Households with no people under 18 years:,Estimate; Households with no people under 18 years: - Family households:,Margin of Error; Households with no people under 18 years: - Family households:,Estimate; Households with no people under 18 years: - Family households: - Married-couple family,Margin of Error; Households with no people under 18 years: - Family households: - Married-couple family,Estimate; Households with no people under 18 years: - Family households: - Other family:,Margin of Error; Households with no people under 18 years: - Family households: - Other family:,"Estimate; Households with no people under 18 years: - Family households: - Other family: - Male householder, no wife present","Margin of Error; Households with no people under 18 years: - Family households: - Other family: - Male householder, no wife present","Estimate; Households with no people under 18 years: - Family households: - Other family: - Female householder, no husband present","Margin of Error; Households with no people under 18 years: - Family households: - Other family: - Female householder, no husband present",Estimate; Households with no people under 18 years: - Nonfamily households:,Margin of Error; Households with no people under 18 years: - Nonfamily households:,Estimate; Households with no people under 18 years: - Nonfamily households: - Male householder,Margin of Error; Households with no people under 18 years: - Nonfamily households: - Male householder,Estimate; Households with no people under 18 years: - Nonfamily households: - Female householder,Margin of Error; Households with no people under 18 years: - Nonfamily households: - Female householder
1400000US17031010100,17031010100,"Census Tract 101, Cook County, Illinois",2147,143,505,136,505,136,231,108,274,113,84,69,190,95,0,15,0,15,0,15,1642,165,246,112,169,78,77,78,0,15,77,78,1396,170,538,153,858,150
1400000US17031010201,17031010201,"Census Tract 102.01, Cook County, Illinois",2506,161,883,200,883,200,440,155,443,141,16,25,427,142,0,15,0,15,0,15,1623,196,602,170,402,121,200,118,59,53,141,102,1021,167,571,155,450,135
1400000US17031010202,17031010202,"Census Tract 102.02, Cook County, Illinois",1069,91,251,97,251,97,100,62,151,78,47,56,104,88,0,11,0,11,0,11,818,95,202,83,92,56,110,65,23,35,87,56,616,118,395,116,221,86
1400000US17031010300,17031010300,"Census Tract 103, Cook County, Illinois",2695,213,501,164,486,162,290,133,196,100,47,52,149,96,15,23,0,15,15,23,2194,228,488,174,328,143,160,130,128,118,32,34,1706,224,962,235,744,179
1400000US17031010400,17031010400,"Census Tract 104, Cook County, Illinois",1837,164,273,103,273,103,178,80,95,79,23,37,72,71,0,11,0,11,0,11,1564,175,332,108,290,88,42,54,0,11,42,54,1232,180,618,166,614,150
1400000US17031010501,17031010501,"Census Tract 105.01, Cook County, Illinois",2235,166,193,104,193,104,117,73,76,83,0,11,76,83,0,11,0,11,0,11,2042,198,281,114,171,84,110,78,26,32,84,67,1761,208,925,228,836,190
1400000US17031010502,17031010502,"Census Tract 105.02, Cook County, Illinois",1567,147,200,109,189,108,73,34,116,107,72,101,44,47,11,19,0,11,11,19,1367,165,364,148,242,100,122,120,65,106,57,46,1003,161,567,134,436,108
1400000US17031010503,17031010503,"Census Tract 105.03, Cook County, Illinois",1090,117,49,43,49,43,41,41,8,13,0,11,8,13,0,11,0,11,0,11,1041,118,236,86,188,72,48,43,27,33,21,29,805,117,364,88,441,115
1400000US17031010600,17031010600,"Census Tract 106, Cook County, Illinois",3128,138,593,182,593,182,288,119,305,150,71,60,234,137,0,15,0,15,0,15,2535,213,681,202,445,148,236,144,72,80,164,112,1854,231,1123,220,731,169
